2  15.5974	1.126440e-01	2.236237e-02	6.695672e+01	9.983468e+01	3.011382e-01	6.987685e-01	
1  13.202	1.112149e-01	2.221027e-02	6.653681e+01	9.958907e+01	3.013797e-01	6.985258e-01	
1  10.6676	1.074404e-01	2.211511e-02	6.698132e+01	1.010452e+02	2.887676e-01	7.111392e-01	
2  6.87273	1.089388e-01	2.162791e-02	6.686253e+01	1.009611e+02	2.920564e-01	7.078500e-01	
10  7.32349	1.093722e-01	2.170222e-02	6.659371e+01	1.004145e+02	2.955639e-01	7.043418e-01	
1  6.78658	1.083443e-01	2.153621e-02	6.692178e+01	1.012374e+02	2.900073e-01	7.098993e-01	
4  7.15939	1.084934e-01	2.153631e-02	6.634571e+01	1.003374e+02	2.954044e-01	7.045006e-01	
8  6.98905	1.109431e-01	2.148257e-02	6.732161e+01	1.013850e+02	2.921886e-01	7.077191e-01	
1  8.07363	1.109538e-01	2.178338e-02	6.806220e+01	1.022587e+02	2.865368e-01	7.133729e-01	
1  7.73044	1.079965e-01	2.161941e-02	6.602051e+01	9.987515e+01	2.973724e-01	7.025316e-01	
5  7.01364	1.059304e-01	2.170154e-02	6.691287e+01	1.015611e+02	2.850624e-01	7.148441e-01	
2  7.55033	1.106141e-01	2.180044e-02	6.724484e+01	1.010818e+02	2.928315e-01	7.070760e-01	
1  9.08212	1.107760e-01	2.190037e-02	6.823918e+01	1.024659e+02	2.849221e-01	7.149880e-01	
1  7.72148	1.109510e-01	2.174859e-02	6.661769e+01	1.001160e+02	2.990133e-01	7.008924e-01	
1  7.26901	1.074896e-01	2.157743e-02	6.619787e+01	1.002733e+02	2.945285e-01	7.053760e-01	
5  6.98158	1.091699e-01	2.152157e-02	6.738581e+01	1.017912e+02	2.878129e-01	7.120950e-01	
1  7.72479	1.139827e-01	2.141039e-02	6.794804e+01	1.018059e+02	2.932531e-01	7.066563e-01	
3  6.92386	1.110816e-01	2.152519e-02	6.693829e+01	1.007480e+02	2.959489e-01	7.039578e-01	
1  7.2966	1.099616e-01	2.174097e-02	6.690239e+01	1.007372e+02	2.942464e-01	7.056601e-01	
1  7.32756	1.089878e-01	2.161755e-02	6.633894e+01	1.001693e+02	2.967726e-01	7.031323e-01	
2  7.74177	1.115551e-01	2.132055e-02	6.670799e+01	1.004723e+02	2.986000e-01	7.013060e-01	
1  8.44229	1.128105e-01	2.182153e-02	6.827955e+01	1.021997e+02	2.887800e-01	7.111302e-01	
2  8.53166	1.153679e-01	2.190701e-02	6.771604e+01	1.008116e+02	2.993698e-01	7.005389e-01	
5  8.45574	1.170855e-01	2.164205e-02	6.877621e+01	1.022763e+02	2.932826e-01	7.066290e-01	
3  7.32527	1.151028e-01	2.170147e-02	6.737819e+01	1.005165e+02	3.013429e-01	6.985650e-01	
1  7.36623	1.189137e-01	2.164130e-02	6.777394e+01	1.004517e+02	3.059996e-01	6.939093e-01	
1  7.82174	1.167700e-01	2.149834e-02	6.679795e+01	9.950195e+01	3.098821e-01	6.900241e-01	
1  8.33298	1.189134e-01	2.179801e-02	6.731638e+01	9.965389e+01	3.105187e-01	6.893889e-01	
3  9.32946	1.194004e-01	2.190740e-02	6.876035e+01	1.016170e+02	2.988753e-01	7.010363e-01	
1  8.89861	1.185232e-01	2.191286e-02	6.759789e+01	1.000535e+02	3.073353e-01	6.925732e-01	
1  7.65472	1.206505e-01	2.165120e-02	6.759359e+01	9.986332e+01	3.114577e-01	6.884507e-01	
2  8.31325	1.202392e-01	2.150164e-02	6.691987e+01	9.905463e+01	3.165081e-01	6.833985e-01	
1  8.36689	1.195303e-01	2.158064e-02	6.883316e+01	1.019553e+02	2.978277e-01	7.020840e-01	
1  9.11813	1.188028e-01	2.138540e-02	6.883309e+01	1.022431e+02	2.958808e-01	7.040309e-01	
1  9.59062	1.194742e-01	2.131956e-02	6.887257e+01	1.022291e+02	2.968184e-01	7.030934e-01	
1  12.6571	1.188052e-01	2.123605e-02	6.955970e+01	1.034411e+02	2.894281e-01	7.104854e-01	
