4  10.2585	1.155933e-01	2.199031e-02	6.545192e+01	9.733836e+01	3.211603e-01	6.787420e-01	
1  8.69774	1.159567e-01	2.176319e-02	6.528698e+01	9.719775e+01	3.231049e-01	6.767970e-01	
2  3.21033	1.150660e-01	2.142703e-02	6.675822e+01	9.980993e+01	3.062675e-01	6.936387e-01	
2  3.55446	1.135195e-01	2.130411e-02	6.704813e+01	1.006273e+02	2.999112e-01	6.999957e-01	
3  4.1163	1.133034e-01	2.149731e-02	6.609072e+01	9.908130e+01	3.086109e-01	6.912933e-01	
6  2.88986	1.145072e-01	2.165517e-02	6.717915e+01	1.003656e+02	3.017090e-01	6.981983e-01	
1  3.33344	1.157629e-01	2.169269e-02	6.821866e+01	1.016537e+02	2.953630e-01	7.045471e-01	
5  3.8291	1.152427e-01	2.172859e-02	6.664240e+01	9.937240e+01	3.084099e-01	6.914959e-01	
1  2.8662	1.134394e-01	2.157181e-02	6.696161e+01	1.003035e+02	3.011050e-01	6.988017e-01	
1  4.23762	1.141048e-01	2.153638e-02	6.609697e+01	9.891330e+01	3.104764e-01	6.894278e-01	
2  4.20402	1.154089e-01	2.173405e-02	6.647773e+01	9.909237e+01	3.103282e-01	6.895771e-01	
1  2.85563	1.163848e-01	2.149047e-02	6.790155e+01	1.012235e+02	2.990384e-01	7.008708e-01	
1  4.37304	1.179867e-01	2.138764e-02	6.877143e+01	1.023015e+02	2.946910e-01	7.052206e-01	
1  5.33443	1.165500e-01	2.122386e-02	6.849148e+01	1.022828e+02	2.936931e-01	7.062177e-01	
1  5.72433	1.164062e-01	2.128244e-02	6.883567e+01	1.027773e+02	2.905836e-01	7.093282e-01	
3  5.01859	1.193437e-01	2.168221e-02	6.939376e+01	1.027403e+02	2.928588e-01	7.070543e-01	
1  2.72964	1.219782e-01	2.164667e-02	6.854138e+01	1.010264e+02	3.057201e-01	6.941908e-01	
3  2.84038	1.242151e-01	2.162192e-02	6.748167e+01	9.908816e+01	3.202552e-01	6.796529e-01	
2  2.79783	1.217029e-01	2.138583e-02	6.761953e+01	9.991597e+01	3.129401e-01	6.869684e-01	
2  2.6184	1.193591e-01	2.164857e-02	6.764934e+01	1.001807e+02	3.081170e-01	6.917916e-01	
3  2.49139	1.233634e-01	2.144256e-02	6.791262e+01	1.000085e+02	3.139681e-01	6.859412e-01	
4  2.29333	1.249125e-01	2.153745e-02	6.837323e+01	1.003381e+02	3.132687e-01	6.866418e-01	
2  2.18558	1.292617e-01	2.152602e-02	6.828980e+01	9.946476e+01	3.233363e-01	6.765740e-01	
3  3.77731	1.287227e-01	2.154879e-02	6.721263e+01	9.797058e+01	3.326402e-01	6.672672e-01	
2  2.48991	1.268061e-01	2.162469e-02	6.791224e+01	9.926460e+01	3.218310e-01	6.780782e-01	
3  2.19964	1.276264e-01	2.160879e-02	6.849393e+01	9.998349e+01	3.181026e-01	6.818083e-01	
5  2.48912	1.302303e-01	2.144580e-02	6.805773e+01	9.902087e+01	3.274629e-01	6.724467e-01	
1  3.32181	1.319954e-01	2.187447e-02	6.917460e+01	1.000181e+02	3.215587e-01	6.783538e-01	
1  3.00412	1.339467e-01	2.184336e-02	6.921269e+01	9.976452e+01	3.252133e-01	6.746993e-01	
2  2.75001	1.316177e-01	2.170175e-02	6.954383e+01	1.007474e+02	3.170152e-01	6.828982e-01	
6  2.13894	1.314768e-01	2.163092e-02	6.861740e+01	9.948222e+01	3.251836e-01	6.747276e-01	
7  2.45628	1.341823e-01	2.166410e-02	6.841842e+01	9.871251e+01	3.329282e-01	6.669824e-01	
3  2.33879	1.361777e-01	2.174167e-02	6.927700e+01	9.955736e+01	3.290465e-01	6.708664e-01	
1  4.24061	1.385199e-01	2.191316e-02	7.047522e+01	1.007550e+02	3.230138e-01	6.769020e-01	
1  4.85151	1.361034e-01	2.159655e-02	7.094288e+01	1.020747e+02	3.133387e-01	6.865782e-01	
1  2.69261	1.337372e-01	2.153609e-02	6.979366e+01	1.008696e+02	3.187606e-01	6.811535e-01	
3  2.01558	1.339914e-01	2.153267e-02	6.913755e+01	9.988074e+01	3.253640e-01	6.745484e-01	
4  2.82498	1.309373e-01	2.130924e-02	6.850376e+01	9.965125e+01	3.244283e-01	6.754825e-01	
1  2.35143	1.305745e-01	2.155578e-02	6.922247e+01	1.005722e+02	3.174838e-01	6.824288e-01	
3  2.88062	1.293642e-01	2.136820e-02	6.787103e+01	9.895545e+01	3.272184e-01	6.726907e-01	
1  2.50837	1.294691e-01	2.156413e-02	6.924540e+01	1.007914e+02	3.149855e-01	6.849273e-01	
1  3.24512	1.267791e-01	2.135407e-02	6.899544e+01	1.010602e+02	3.111799e-01	6.887322e-01	
1  3.96978	1.216544e-01	2.139459e-02	6.672274e+01	9.859282e+01	3.213194e-01	6.785866e-01	
8  2.49317	1.242735e-01	2.150211e-02	6.770784e+01	9.950076e+01	3.179851e-01	6.819236e-01	
5  2.45469	1.241902e-01	2.165937e-02	6.840601e+01	1.004212e+02	3.116856e-01	6.882250e-01	
1  7.39118	1.259233e-01	2.213214e-02	6.762247e+01	9.861544e+01	3.237742e-01	6.761343e-01	
2  3.98547	1.247084e-01	2.192315e-02	6.823611e+01	9.988019e+01	3.149191e-01	6.849910e-01	
1  2.28535	1.267278e-01	2.163042e-02	6.855667e+01	1.002159e+02	3.156546e-01	6.842564e-01	
1  2.77822	1.269747e-01	2.175898e-02	6.822163e+01	9.958615e+01	3.195694e-01	6.803407e-01	
2  2.47002	1.274358e-01	2.171051e-02	6.856035e+01	1.000367e+02	3.172974e-01	6.826136e-01	
1  2.48251	1.255998e-01	2.159443e-02	6.780728e+01	9.934402e+01	3.201386e-01	6.797704e-01	
3  3.21146	1.230952e-01	2.182163e-02	6.821636e+01	1.002138e+02	3.114167e-01	6.884934e-01	
4  2.98834	1.253593e-01	2.166124e-02	6.911499e+01	1.012514e+02	3.077752e-01	6.921372e-01	
1  2.77999	1.279064e-01	2.161640e-02	6.928033e+01	1.010763e+02	3.115212e-01	6.883916e-01	
2  3.30187	1.264153e-01	2.162225e-02	6.942894e+01	1.015529e+02	3.071077e-01	6.928056e-01	
1  6.31836	1.268513e-01	2.146871e-02	7.040189e+01	1.030173e+02	2.992479e-01	7.006677e-01	
1  6.83077	1.260959e-01	2.141620e-02	7.039057e+01	1.031786e+02	2.977135e-01	7.022020e-01	
5  3.25305	1.242414e-01	2.166539e-02	6.915450e+01	1.015062e+02	3.050947e-01	6.948178e-01	
1  2.9314	1.276398e-01	2.162241e-02	6.934796e+01	1.012174e+02	3.103720e-01	6.895410e-01	
2  2.6503	1.255579e-01	2.146593e-02	6.878204e+01	1.008781e+02	3.107690e-01	6.891425e-01	
3  2.49334	1.274917e-01	2.166620e-02	6.806618e+01	9.933928e+01	3.219463e-01	6.779634e-01	
2  4.1348	1.291132e-01	2.165149e-02	7.004901e+01	1.019567e+02	3.072527e-01	6.926620e-01	
1  3.72546	1.282623e-01	2.185703e-02	6.936784e+01	1.009578e+02	3.119754e-01	6.879377e-01	
6  3.44687	1.273425e-01	2.187083e-02	6.880280e+01	1.002854e+02	3.152067e-01	6.847050e-01	
3  4.58456	1.242180e-01	2.193582e-02	6.911409e+01	1.012432e+02	3.059687e-01	6.939437e-01	
1  5.18308	1.233677e-01	2.169920e-02	6.983893e+01	1.026433e+02	2.974221e-01	7.024921e-01	
1  7.06779	1.247092e-01	2.189985e-02	7.029716e+01	1.029150e+02	2.966780e-01	7.032374e-01	
2  4.66695	1.251351e-01	2.197175e-02	6.900800e+01	1.008971e+02	3.089114e-01	6.910007e-01	
4  4.09977	1.273279e-01	2.194723e-02	6.877934e+01	1.001960e+02	3.155524e-01	6.843592e-01	
2  2.90581	1.298926e-01	2.176686e-02	6.822210e+01	9.907768e+01	3.258513e-01	6.740588e-01	
2  2.73258	1.310926e-01	2.178698e-02	6.872579e+01	9.958823e+01	3.236755e-01	6.762359e-01	
2  3.3214	1.315736e-01	2.185086e-02	6.847351e+01	9.909335e+01	3.272274e-01	6.726834e-01	
1  2.1383	1.305321e-01	2.148964e-02	6.874039e+01	9.992891e+01	3.217228e-01	6.781886e-01	
1  2.09032	1.316361e-01	2.161489e-02	6.890430e+01	9.988293e+01	3.227830e-01	6.771288e-01	
2  2.43987	1.367162e-01	2.175924e-02	6.910523e+01	9.920780e+01	3.318486e-01	6.680638e-01	
1  2.15236	1.384961e-01	2.168043e-02	6.972739e+01	9.986219e+01	3.294519e-01	6.704620e-01	
1  2.26181	1.360406e-01	2.172367e-02	6.922037e+01	9.951226e+01	3.292614e-01	6.706513e-01	
4  2.50003	1.362900e-01	2.151363e-02	6.989280e+01	1.005946e+02	3.230369e-01	6.768775e-01	
